"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2024","171.85","171.95","172.95","170.13","13.55M","0.42%"
"07/29/2024","171.13","170.50","172.16","169.72","13.77M","1.45%"
"07/26/2024","168.68","168.77","169.84","165.87","25.15M","-0.28%"
"07/25/2024","169.16","174.25","175.20","169.05","28.97M","-2.99%"
"07/24/2024","174.37","175.39","177.95","173.57","31.25M","-5.03%"
"07/23/2024","183.60","183.84","185.22","183.33","23.77M","0.14%"
"07/22/2024","183.35","182.35","184.30","181.90","16.30M","2.21%"
"07/19/2024","179.39","180.37","181.97","178.86","14.49M","0.09%"
"07/18/2024","179.22","183.54","184.05","178.21","17.88M","-1.86%"
"07/17/2024","182.62","184.68","185.23","181.62","17.38M","-1.55%"
"07/16/2024","185.50","188.96","190.34","185.12","12.76M","-1.43%"
"07/15/2024","188.19","186.49","189.90","186.49","12.19M","0.75%"
"07/12/2024","186.78","186.92","188.69","186.14","14.45M","-0.28%"
"07/11/2024","187.30","191.34","192.41","186.82","16.45M","-2.78%"
"07/10/2024","192.66","190.75","193.31","190.62","12.05M","1.17%"
"07/09/2024","190.44","191.75","192.86","190.23","10.22M","-0.02%"
"07/08/2024","190.48","191.37","191.68","189.32","12.10M","-0.77%"
"07/05/2024","191.96","187.32","192.26","187.32","14.30M","2.44%"
"07/03/2024","187.39","186.30","187.62","185.38","7.41M","0.42%"
"07/02/2024","186.61","183.47","186.95","183.06","12.56M","1.15%"
"07/01/2024","184.49","184.48","185.34","182.73","11.82M","0.58%"
"06/28/2024","183.42","185.72","186.58","183.32","23.03M","-1.84%"
"06/27/2024","186.86","185.65","187.50","185.45","13.03M","0.80%"
"06/26/2024","185.37","184.20","185.93","183.99","13.38M","-0.11%"
"06/25/2024","185.58","181.15","185.75","181.10","18.92M","2.65%"
"06/24/2024","180.79","181.28","182.08","180.23","18.20M","0.29%"
"06/21/2024","180.26","178.49","182.51","178.06","59.73M","1.43%"
"06/20/2024","177.71","176.71","178.74","176.46","16.75M","0.71%"
"06/18/2024","176.45","178.79","178.91","175.62","15.64M","-1.30%"
"06/17/2024","178.78","176.98","179.92","176.49","15.27M","0.23%"
"06/14/2024","178.37","175.85","178.73","175.85","12.36M","0.92%"
"06/13/2024","176.74","177.84","178.51","176.66","15.96M","-1.57%"
"06/12/2024","179.56","179.75","182.08","177.78","18.60M","0.77%"
"06/11/2024","178.19","177.72","178.39","175.44","14.40M","0.88%"
